supplier_product_id,supplier_id,sku_id,supplier_product_code,supplier_product_name,supplier_description,supplier_base_uom,pack_size,pack_size_uom,conversion_factor,conversion_source,mapping_status,mapping_type,mapping_confidence
SP-147,SUP-005,SKU-030,E-030,SS Item 030,EK-31-SS-030 – EcoPack Solutions grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.84
SP-148,SUP-005,SKU-031,E-031,CB Item 031,S-PLY-3-CB-031 – EcoPack Solutions grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.88
SP-149,SUP-005,SKU-033,E-033,ST Item 033,FB-38-ST-033 – EcoPack Solutions grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.77
SP-150,SUP-005,SKU-035,E-035,LP Item 035,HS-WRAP-LP-035 – EcoPack Solutions grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.9
SP-151,SUP-005,SKU-036,E-036,SS Item 036,EK-31-SS-036 – EcoPack Solutions grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.85
SP-152,SUP-005,SKU-038,E-038,FP Item 038,S-PLY-5-FP-038 – EcoPack Solutions grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.92
SP-153,SUP-005,SKU-040,E-040,FW Item 040,UV-RES-FW-040 – EcoPack Solutions grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.91
SP-154,SUP-005,SKU-041,E-041,LP Item 041,HS-WRAP-LP-041 – EcoPack Solutions grade,BOX,100.0,buyer units,100.0,MASTER,AI_SUGGESTED,DIRECT,0.85
SP-155,SUP-005,SKU-043,E-043,CB Item 043,S-PLY-3-CB-043 – EcoPack Solutions grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.82
SP-156,SUP-005,SKU-045,E-045,ST Item 045,FB-38-ST-045 – EcoPack Solutions grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.71
SP-157,SUP-005,SKU-046,E-046,FW Item 046,UV-RES-FW-046 – EcoPack Solutions grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.66
SP-158,SUP-005,SKU-048,E-048,SS Item 048,EK-31-SS-048 – EcoPack Solutions grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.81
SP-159,SUP-005,SKU-009,E-009,ST Item 009,FB-38-ST-009 – EcoPack Solutions grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.81
SP-160,SUP-005,SKU-012,E-012,SS Item 012,EK-31-SS-012 – EcoPack Solutions grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.76
SP-161,SUP-006,SKU-002,F-002,FP Item 002,S-PLY-5-FP-002 – PrimeBox Industries grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.81
SP-162,SUP-006,SKU-003,F-003,ST Item 003,FB-38-ST-003 – PrimeBox Industries grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.95
SP-163,SUP-006,SKU-005,F-005,LP Item 005,HS-WRAP-LP-005 – PrimeBox Industries grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.95
SP-164,SUP-006,SKU-006,F-006,SS Item 006,EK-31-SS-006 – PrimeBox Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.96
SP-165,SUP-006,SKU-007,F-007,CB Item 007,S-PLY-3-CB-007 – PrimeBox Industries grade,CARTON,25.0,buyer units,25.0,MASTER,UNRESOLVED,DIRECT,0.67
SP-166,SUP-006,SKU-008,F-008,FP Item 008,S-PLY-5-FP-008 – PrimeBox Industries grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.7
SP-167,SUP-006,SKU-010,F-010,FW Item 010,UV-RES-FW-010 – PrimeBox Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.95
SP-168,SUP-006,SKU-011,F-011,LP Item 011,HS-WRAP-LP-011 – PrimeBox Industries grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.93
SP-169,SUP-006,SKU-013,F-013,CB Item 013,S-PLY-3-CB-013 – PrimeBox Industries grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.7
SP-170,SUP-006,SKU-015,F-015,ST Item 015,FB-38-ST-015 – PrimeBox Industries grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.92
SP-171,SUP-006,SKU-016,F-016,FW Item 016,UV-RES-FW-016 – PrimeBox Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.63
SP-172,SUP-006,SKU-018,F-018,SS Item 018,EK-31-SS-018 – PrimeBox Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.77
SP-173,SUP-006,SKU-020,F-020,FP Item 020,S-PLY-5-FP-020 – PrimeBox Industries grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.86
SP-174,SUP-006,SKU-021,F-021,ST Item 021,FB-38-ST-021 – PrimeBox Industries grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.77
SP-175,SUP-006,SKU-023,F-023,LP Item 023,HS-WRAP-LP-023 – PrimeBox Industries grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.94
SP-176,SUP-006,SKU-025,F-025,CB Item 025,S-PLY-3-CB-025 – PrimeBox Industries grade,BOX,200.0,buyer units,200.0,MASTER,AI_SUGGESTED,DIRECT,0.7
SP-177,SUP-006,SKU-026,F-026,FP Item 026,S-PLY-5-FP-026 – PrimeBox Industries grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.68
SP-178,SUP-006,SKU-028,F-028,FW Item 028,UV-RES-FW-028 – PrimeBox Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.79
SP-179,SUP-006,SKU-030,F-030,SS Item 030,EK-31-SS-030 – PrimeBox Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.72
SP-180,SUP-006,SKU-031,F-031,CB Item 031,S-PLY-3-CB-031 – PrimeBox Industries grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.9
SP-181,SUP-006,SKU-033,F-033,ST Item 033,FB-38-ST-033 – PrimeBox Industries grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.88
SP-182,SUP-006,SKU-035,F-035,LP Item 035,HS-WRAP-LP-035 – PrimeBox Industries grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.66
SP-183,SUP-006,SKU-036,F-036,SS Item 036,EK-31-SS-036 – PrimeBox Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.69
SP-184,SUP-006,SKU-038,F-038,FP Item 038,S-PLY-5-FP-038 – PrimeBox Industries grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.64
SP-185,SUP-006,SKU-040,F-040,FW Item 040,UV-RES-FW-040 – PrimeBox Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.98
SP-186,SUP-006,SKU-041,F-041,LP Item 041,HS-WRAP-LP-041 – PrimeBox Industries grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.71
SP-187,SUP-006,SKU-043,F-043,CB Item 043,S-PLY-3-CB-043 – PrimeBox Industries grade,BOX,50.0,buyer units,50.0,MASTER,AI_SUGGESTED,DIRECT,0.69
SP-188,SUP-006,SKU-045,F-045,ST Item 045,FB-38-ST-045 – PrimeBox Industries grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.73
SP-189,SUP-006,SKU-046,F-046,FW Item 046,UV-RES-FW-046 – PrimeBox Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.78
SP-190,SUP-006,SKU-048,F-048,SS Item 048,EK-31-SS-048 – PrimeBox Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.68
SP-191,SUP-006,SKU-022,F-022,FW Item 022,UV-RES-FW-022 – PrimeBox Industries grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.89
SP-192,SUP-006,SKU-024,F-024,SS Item 024,EK-31-SS-024 – PrimeBox Industries grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.81
SP-193,SUP-007,SKU-002,G-002,FP Item 002,S-PLY-5-FP-002 – NovaPaper Mills grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.75
SP-194,SUP-007,SKU-003,G-003,ST Item 003,FB-38-ST-003 – NovaPaper Mills grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.99
SP-195,SUP-007,SKU-005,G-005,LP Item 005,HS-WRAP-LP-005 – NovaPaper Mills grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.83
SP-196,SUP-007,SKU-006,G-006,SS Item 006,EK-31-SS-006 – NovaPaper Mills grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.89
SP-197,SUP-007,SKU-007,G-007,CB Item 007,S-PLY-3-CB-007 – NovaPaper Mills grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.74
SP-198,SUP-007,SKU-008,G-008,FP Item 008,S-PLY-5-FP-008 – NovaPaper Mills grade,CARTON,500.0,buyer units,500.0,MASTER,AI_SUGGESTED,DIRECT,0.78
SP-199,SUP-007,SKU-010,G-010,FW Item 010,UV-RES-FW-010 – NovaPaper Mills grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.97
SP-200,SUP-007,SKU-011,G-011,LP Item 011,HS-WRAP-LP-011 – NovaPaper Mills grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.68
SP-201,SUP-007,SKU-013,G-013,CB Item 013,S-PLY-3-CB-013 – NovaPaper Mills grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.99
SP-202,SUP-007,SKU-015,G-015,ST Item 015,FB-38-ST-015 – NovaPaper Mills grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.73
SP-203,SUP-007,SKU-016,G-016,FW Item 016,UV-RES-FW-016 – NovaPaper Mills grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.62
SP-204,SUP-007,SKU-018,G-018,SS Item 018,EK-31-SS-018 – NovaPaper Mills grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.77
SP-205,SUP-007,SKU-020,G-020,FP Item 020,S-PLY-5-FP-020 – NovaPaper Mills grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.94
SP-206,SUP-007,SKU-021,G-021,ST Item 021,FB-38-ST-021 – NovaPaper Mills grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.85
SP-207,SUP-007,SKU-023,G-023,LP Item 023,HS-WRAP-LP-023 – NovaPaper Mills grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.8
SP-208,SUP-007,SKU-025,G-025,CB Item 025,S-PLY-3-CB-025 – NovaPaper Mills grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.63
SP-209,SUP-007,SKU-026,G-026,FP Item 026,S-PLY-5-FP-026 – NovaPaper Mills grade,BOX,100.0,buyer units,100.0,MASTER,AI_SUGGESTED,DIRECT,0.82
SP-210,SUP-007,SKU-028,G-028,FW Item 028,UV-RES-FW-028 – NovaPaper Mills grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,1.0
SP-211,SUP-007,SKU-030,G-030,SS Item 030,EK-31-SS-030 – NovaPaper Mills grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.93
SP-212,SUP-007,SKU-031,G-031,CB Item 031,S-PLY-3-CB-031 – NovaPaper Mills grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.94
SP-213,SUP-007,SKU-033,G-033,ST Item 033,FB-38-ST-033 – NovaPaper Mills grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.64
SP-214,SUP-007,SKU-035,G-035,LP Item 035,HS-WRAP-LP-035 – NovaPaper Mills grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.69
SP-215,SUP-007,SKU-036,G-036,SS Item 036,EK-31-SS-036 – NovaPaper Mills grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.74
SP-216,SUP-007,SKU-038,G-038,FP Item 038,S-PLY-5-FP-038 – NovaPaper Mills grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.91
SP-217,SUP-007,SKU-040,G-040,FW Item 040,UV-RES-FW-040 – NovaPaper Mills grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.84
SP-218,SUP-007,SKU-041,G-041,LP Item 041,HS-WRAP-LP-041 – NovaPaper Mills grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.74
SP-219,SUP-007,SKU-043,G-043,CB Item 043,S-PLY-3-CB-043 – NovaPaper Mills grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.64
SP-220,SUP-007,SKU-045,G-045,ST Item 045,FB-38-ST-045 – NovaPaper Mills grade,BOX,25.0,buyer units,25.0,MASTER,UNRESOLVED,DIRECT,0.74
SP-221,SUP-007,SKU-046,G-046,FW Item 046,UV-RES-FW-046 – NovaPaper Mills grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.87
SP-222,SUP-007,SKU-048,G-048,SS Item 048,EK-31-SS-048 – NovaPaper Mills grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.85
SP-223,SUP-007,SKU-034,G-034,FW Item 034,UV-RES-FW-034 – NovaPaper Mills grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.97
SP-224,SUP-007,SKU-037,G-037,CB Item 037,S-PLY-3-CB-037 – NovaPaper Mills grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.85
SP-225,SUP-008,SKU-002,H-002,FP Item 002,S-PLY-5-FP-002 – Unicarton Exports grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.89
SP-226,SUP-008,SKU-003,H-003,ST Item 003,FB-38-ST-003 – Unicarton Exports grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.62
SP-227,SUP-008,SKU-005,H-005,LP Item 005,HS-WRAP-LP-005 – Unicarton Exports grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.74
SP-228,SUP-008,SKU-006,H-006,SS Item 006,EK-31-SS-006 – Unicarton Exports grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.66
SP-229,SUP-008,SKU-007,H-007,CB Item 007,S-PLY-3-CB-007 – Unicarton Exports grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.73
SP-230,SUP-008,SKU-008,H-008,FP Item 008,S-PLY-5-FP-008 – Unicarton Exports grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.91
SP-231,SUP-008,SKU-010,H-010,FW Item 010,UV-RES-FW-010 – Unicarton Exports grade,REEL,12.0,buyer units,12.0,MASTER,AI_SUGGESTED,DIRECT,0.82
SP-232,SUP-008,SKU-011,H-011,LP Item 011,HS-WRAP-LP-011 – Unicarton Exports grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.9
SP-233,SUP-008,SKU-013,H-013,CB Item 013,S-PLY-3-CB-013 – Unicarton Exports grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.96
SP-234,SUP-008,SKU-015,H-015,ST Item 015,FB-38-ST-015 – Unicarton Exports grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.77
SP-235,SUP-008,SKU-016,H-016,FW Item 016,UV-RES-FW-016 – Unicarton Exports grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.78
SP-236,SUP-008,SKU-018,H-018,SS Item 018,EK-31-SS-018 – Unicarton Exports grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.63
SP-237,SUP-008,SKU-020,H-020,FP Item 020,S-PLY-5-FP-020 – Unicarton Exports grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.84
SP-238,SUP-008,SKU-021,H-021,ST Item 021,FB-38-ST-021 – Unicarton Exports grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.86
SP-239,SUP-008,SKU-023,H-023,LP Item 023,HS-WRAP-LP-023 – Unicarton Exports grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.99
SP-240,SUP-008,SKU-025,H-025,CB Item 025,S-PLY-3-CB-025 – Unicarton Exports grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.74
SP-241,SUP-008,SKU-026,H-026,FP Item 026,S-PLY-5-FP-026 – Unicarton Exports grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.72
SP-242,SUP-008,SKU-028,H-028,FW Item 028,UV-RES-FW-028 – Unicarton Exports grade,REEL,12.0,buyer units,12.0,MASTER,AI_SUGGESTED,DIRECT,1.0
SP-243,SUP-008,SKU-030,H-030,SS Item 030,EK-31-SS-030 – Unicarton Exports grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.64
SP-244,SUP-008,SKU-031,H-031,CB Item 031,S-PLY-3-CB-031 – Unicarton Exports grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.72
SP-245,SUP-008,SKU-033,H-033,ST Item 033,FB-38-ST-033 – Unicarton Exports grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.86
SP-246,SUP-008,SKU-035,H-035,LP Item 035,HS-WRAP-LP-035 – Unicarton Exports grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.98
SP-247,SUP-008,SKU-036,H-036,SS Item 036,EK-31-SS-036 – Unicarton Exports grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.71
SP-248,SUP-008,SKU-038,H-038,FP Item 038,S-PLY-5-FP-038 – Unicarton Exports grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.78
SP-249,SUP-008,SKU-040,H-040,FW Item 040,UV-RES-FW-040 – Unicarton Exports grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.92
